Ethnicity,Gender,Variables,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Chinese,Both,5 - 9 Years,150357,148444,145534,148862,159182,163174,171793,179926,182381,180124,181045,179162,178530,173778,167938,163974,161204,155181,149990,146933,141864,135660,134579,134501,135766,136134,135257,136570,137097
Chinese,Both,10 - 14 Years,156372,156743,155153,156322,153822,153547,151198,148388,152041,162685,167030,175600,183323,183641,180769,181943,179962,179117,177611,172292,168026,164707,158134,152444,148099,143109,137225,136448,136796
Chinese,Both,15 - 19 Years,175214,172094,169108,161669,157990,157121,157267,155766,157247,154883,154767,152502,149398,151924,162266,166645,175099,182958,186689,185136,186139,183702,182494,179429,172689,168641,165774,159568,154198
Chinese,Both,20 - 24 Years,180568,179605,182361,186548,189135,187986,184060,180444,172335,168545,167332,167619,166618,163118,160062,160353,158764,155585,159829,172285,175721,181822,189212,190460,186771,187266,184609,183474,180656
Chinese,Both,25 - 29 Years,219632,218667,216239,213786,208544,205791,204824,207460,211001,213390,211441,208971,209433,199011,194754,192914,192817,191618,194852,197870,195571,188686,182756,184455,193787,197951,204843,212862,213123
Chinese,Both,30 - 34 Years,233790,236660,236269,236303,236129,235132,234783,232351,230627,225826,222467,221187,224226,222627,225333,224623,222472,221874,216112,216941,216679,215309,213459,215075,211976,211777,208889,204446,206873
Chinese,Both,35 - 39 Years,206977,216499,225759,232427,237698,241609,244293,244084,245074,245843,245278,244834,241992,233607,227579,224073,222621,225259,228953,234595,234760,231657,230350,223574,220906,220671,220701,219561,221887
Chinese,Both,40 - 44 Years,169475,183861,189302,196291,203622,211029,219945,229133,235911,241204,244946,247481,247207,243232,243309,242125,241495,238161,234533,230084,227333,225693,228257,231365,234352,234287,231775,230806,224416
Chinese,Both,45 - 49 Years,106525,107138,121712,137111,151299,170967,184879,190133,197102,204273,211454,220235,229072,232207,236836,240034,241759,241026,241116,242168,241561,240938,237372,233414,227540,224201,223222,225935,229736
Chinese,Both,50 - 54 Years,95511,103369,108450,110112,110732,106065,106576,120915,136096,150222,169486,183048,188145,190113,197626,204746,213519,222167,228448,233183,235918,237735,237159,237503,237697,236497,235906,232687,229401
Chinese,Both,55 - 59 Years,78116,79321,79497,82155,88363,93657,101324,106241,107722,108208,103619,104161,118222,130554,144133,162583,175703,180619,186779,194125,200577,208954,217054,222954,227374,230757,232481,231813,232490
Chinese,Both,60 - 64 Years,63090,65526,67428,69199,71252,74818,76088,76391,78929,84870,89929,97412,102077,101970,102808,98466,98939,112606,126830,140160,158333,171094,175754,181827,188427,194874,202871,210800,216752
Chinese,Both,65 - 69 Years,45600,47000,49433,52147,55238,58189,60529,62375,64193,66206,69621,70895,71200,72565,78509,83530,90803,95395,97035,97967,94035,94754,107912,121587,134123,151385,163881,168582,174682
Chinese,Both,70 - 74 Years,36675,36859,37059,37666,38453,39113,40663,43060,45738,48709,51447,53645,55462,56170,58282,61679,63131,63615,66312,72212,77347,84360,88482,89985,90889,87310,88238,100894,113955
Chinese,Both,75 - 79 Years,28139,28217,28279,28162,28131,28361,28472,28730,29285,30213,31126,33054,35598,34822,38734,41794,44151,46219,48115,50161,53511,54877,55620,58427,63831,68563,74926,78725,80247
Chinese,Both,80 - 84 Years,15650,16845,17696,18412,18890,19134,19214,19157,19184,19187,19433,20142,20935,21415,22191,22944,24266,26090,28080,30684,33048,35055,36811,38500,40331,43155,44620,45437,48056
Chinese,Both,85 Years & Over,8775,9438,10178,11051,11839,12747,13525,14253,14913,15355,15742,16649,17579,17941,18889,19944,20851,21713,22808,23930,25244,26861,28831,30840,33159,35476,37777,40192,42687
Chinese,Male,0 - 4 Years,81827,86238,89846,90828,89417,90157,89027,88678,87292,84343,81700,80612,77931,74416,72121,69091,66097,65541,65512,66333,65689,64775,65510,65562,65120,65896,66943,66394,64571
Chinese,Male,5 - 9 Years,78220,77440,75849,77455,82673,84759,89085,92974,94290,92995,93365,92376,92222,89706,86897,84826,83458,80261,77407,75693,72775,69469,68931,68932,69555,69716,69259,70115,70539
Chinese,Male,10 - 14 Years,80899,81052,80414,81221,79929,79779,78757,77229,79022,84409,86660,90917,94574,94820,93195,93737,92692,92408,91386,88765,86617,84973,81512,78468,76144,73335,70290,69850,70044
Chinese,Male,15 - 19 Years,90345,88696,87084,83209,81424,81024,81061,80417,81348,80103,80036,78985,77331,78671,83901,86152,90325,93962,95430,94303,94837,93766,93414,91804,88722,86728,85383,82160,79286
Chinese,Male,20 - 24 Years,91919,90979,91760,93447,94681,94008,92169,90356,86110,84305,83872,83940,83454,81372,80550,81407,80880,79340,81017,86757,88489,91656,95079,95779,94189,94775,93681,93506,92077
Chinese,Male,25 - 29 Years,111603,110581,108959,107143,103607,101281,100279,100900,102231,103367,102406,101128,101055,95657,93594,92941,92976,92841,94660,95875,94997,92011,88944,89948,94600,96831,100380,104440,105003
Chinese,Male,30 - 34 Years,119013,120407,119777,119528,118936,118173,117621,115990,114311,110920,108157,106624,107453,106427,107696,107419,106164,105761,102857,103096,102963,102101,101426,102421,101060,100938,99734,97484,98895
