Males,60-69,Total,52500,56800,55100,57900,59400,61500,62800,65900,70200,74100,77200,79500,81600,84800,84700,86800,88700,94200,95100,99100,105900,112200,112600,107200,120100,126000,133900,144800,150900,164900,174500,189100,208500,211600,229100,229900,235400
Males,60-69,Single,2400,2200,1700,2000,2100,2000,2000,2400,4200,2800,4200,3800,3900,4300,4900,4200,4300,4600,5100,4900,5700,5900,6300,6000,7300,7300,9200,8200,10000,9800,12500,13000,14800,15900,17600,19200,20000
Males,60-69,Married,44500,49700,49300,50700,51600,54400,55100,57600,58300,64000,65200,69900,70000,74000,71500,76100,77100,81300,83000,86600,92100,97400,98600,94100,104900,108200,116000,125300,130300,144300,150800,162700,179800,180800,193300,193500,197900
Males,60-69,Widowed,5100,4600,3800,4500,4900,4100,4900,5200,6900,6300,6700,4600,6500,5300,6800,5400,6300,6400,4800,5400,5900,6000,4900,4300,5100,6500,5000,5800,5600,5000,4600,6200,6300,6800,8700,8000,8100
Males,60-69,Divorced/Separated,600,300,300,800,700,1000,800,700,700,1000,1100,1200,1200,1100,1400,1000,1000,1900,2200,2200,2100,2800,2700,2800,2900,3900,3700,5500,5100,5800,6500,7200,7700,8200,9500,9200,9400
Females,60-69,Total,54300,55900,57600,59700,61800,62600,65800,72300,72300,75100,79200,83400,86000,91200,89800,92900,96500,104500,103100,109300,114900,124500,121800,116300,129900,136000,143500,157200,159100,168900,182700,192800,217600,222300,235800,243900,246000
Females,60-69,Single,2500,1600,1900,1800,1600,1200,1600,1900,2100,2300,2100,2300,2500,2600,3200,3600,3600,4900,4700,5100,5400,7300,7000,6900,9100,10100,9800,12200,13400,14300,17700,19800,24100,23600,28800,27900,30700
Females,60-69,Married,26000,28800,32200,32600,33400,33500,34300,38800,38700,41100,42200,47500,46600,54600,51100,55400,58700,60000,64900,65800,73700,76700,75500,76200,84600,87900,94000,107000,105600,115600,123500,128800,148400,150400,158400,164400,166600
Females,60-69,Widowed,25100,25100,22600,24300,26000,26600,28500,30000,30500,29800,33300,31900,35100,32100,33700,32500,32000,37200,30100,34300,32000,35700,34100,28300,30100,30600,31900,29700,31100,27500,29400,31200,30400,33800,33800,35000,30900
Females,60-69,Divorced/Separated,700,400,800,900,800,1200,1300,1700,1000,1900,1700,1700,1800,2000,1700,1500,2200,2500,3400,4000,3800,4800,5200,5000,6100,7400,7900,8300,9000,11500,12000,13000,14600,14500,14700,16600,17900
All,70-100,Total,63500,72200,77800,79100,84300,83000,81600,89100,104300,102100,103400,108400,110900,121200,125800,126700,140400,143600,143700,155100,163000,175900,177700,180800,202300,205700,206600,227500,230500,249300,256700,267000,291700,281300,293900,335400,334800
All,70-100,Single,3300,2700,2900,2900,3300,2300,2300,2800,4600,2900,3100,3400,3800,3700,2900,3400,4200,4600,3900,5000,5500,5800,6500,5600,6900,6800,7100,7900,9300,9800,11200,11500,13600,12800,13000,15800,18100
All,70-100,Married,27000,33700,39600,39700,40100,39400,39300,41100,46600,46500,47100,52000,50500,57100,58300,61800,69600,65800,72700,70700,76800,84100,85300,95600,104000,103700,108800,123600,120400,133700,141700,150900,167200,149700,165100,192700,196700
All,70-100,Widowed,32800,35700,34900,35900,40200,40600,39400,44500,52400,51300,52100,51900,55000,59300,63000,60300,64500,71300,65300,77100,78500,82800,82500,76300,86700,90900,86000,91100,95200,99200,96200,97500,102400,108300,106900,116500,109500
